prefix,빈도 기반_예측,빈도 기반_신뢰도(%),가중치 기반_예측,가중치 기반_신뢰도(%),시뮬레이션 승률(%)
pbbbbbbbpp,p,50.83,b,68.56,-
bppbpbbbpb,p,50.82,p,62.69,-
bpbbbbpbbb,b,50.77,p,52.12,-
bpbbbppbbb,b,50.77,b,58.84,-
pbpbpbbpbb,b,50.76,p,54.97,0.0
bpppbpbppb,b,50.57,p,54.42,100.0
pbbbpppbbb,b,50.57,b,67.93,50.0
bpbbbppbbp,p,50.54,p,88.73,0.0
bpppbppbpp,p,50.54,b,84.04,0.0
pbpbpppbpp,p,50.54,b,58.84,33.3
pbbbbppppp,p,50.53,b,74.35,50.0
pbpbppbpbp,b,50.53,b,65.3,-
pbpbpppppb,p,50.53,p,58.59,0.0
bppbbbpbpp,p,50.52,p,58.89,100.0
pbppbpbbbp,b,50.52,b,75.65,50.0
bpbpbppppp,p,50.51,b,52.38,0.0
bppppbpbbp,p,50.51,p,53.67,-
pbbppppppp,b,50.51,b,58.45,-
bpbppppbpp,p,50.5,p,93.71,100.0
bpbppppppb,b,50.5,b,73.9,25.0
bpppbpbpbb,b,50.5,p,66.09,-
bppppbpppp,b,50.5,p,53.14,-
bpppppppbp,b,50.5,b,73.38,-
pbbppbbpbp,p,50.5,p,81.98,0.0
pbbbpbpppp,p,50.49,b,79.37,-
pbbppbbbpp,b,50.49,p,51.65,0.0
pbpbpbpppb,b,50.49,p,56.39,0.0
pbpppbppbb,p,50.49,b,57.1,-
pbpppppbbp,b,50.49,p,77.04,-
pbpppbbbpb,b,50.48,b,55.36,-
bppppbppbp,p,50.47,b,51.28,-
bppbbpppbp,b,50.46,p,61.4,-
pbbbppbbbb,p,50.45,b,65.15,-
pbpbbbpbpp,p,50.45,p,54.73,-
pbpbpbbbpp,b,50.45,b,56.73,-
pbpbpbpbbb,b,50.45,p,56.79,-
pbppbpbppp,b,50.45,b,54,-
pbpppppppb,p,50.44,p,71.22,-
bpbppbpbbp,p,50.43,p,54.69,100.0
bppbbpbbbp,b,50.43,b,56.91,-
pbbppbpbbp,b,50.43,b,59.44,-
bppbbpppbb,p,50.41,p,53.93,-
pbbbpbbpbb,b,50.41,p,85.35,-
pbpbpppbbp,b,50.41,b,65.12,-
