run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3508,3,9,bppbpbpb,50.09276437847866,b,p,0,57.142857142857146
3fed7a4f-5725-4e59-abf0-008858c12588,3508,5,9,bpbpbpbb,50.0,p,p,1,47.05882352941177
3fed7a4f-5725-4e59-abf0-008858c12588,3508,6,9,pbpbpbbp,51.10294117647059,p,b,0,41.37931034482759
3fed7a4f-5725-4e59-abf0-008858c12588,3508,7,9,bpbpbbpb,51.5370705244123,b,p,0,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3508,8,9,pbpbbpbp,51.82481751824818,p,p,1,48.717948717948715
3fed7a4f-5725-4e59-abf0-008858c12588,3508,10,9,pbbpbppp,51.138353765324,p,b,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3508,11,9,bpbpppbp,51.992031872509955,b,p,0,44.827586206896555
3fed7a4f-5725-4e59-abf0-008858c12588,3508,12,9,pbpppbpp,50.965250965250966,p,p,1,57.142857142857146
3fed7a4f-5725-4e59-abf0-008858c12588,3508,13,9,bpppbppp,51.816443594646266,b,p,0,34.48275862068966
3fed7a4f-5725-4e59-abf0-008858c12588,3508,14,9,pbpppppb,50.39840637450199,p,b,0,62.5
3fed7a4f-5725-4e59-abf0-008858c12588,3508,15,9,bpppppbb,52.26824457593688,p,b,0,48.148148148148145
3fed7a4f-5725-4e59-abf0-008858c12588,3508,16,9,pbbbbbbp,52.302025782688766,p,b,0,46.875
3fed7a4f-5725-4e59-abf0-008858c12588,3508,17,9,bpbpbbpb,51.5370705244123,b,b,1,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3508,18,9,pbpbbpbb,51.393728222996515,p,p,1,39.02439024390244
3fed7a4f-5725-4e59-abf0-008858c12588,3508,20,9,pbbpbbpb,50.07898894154819,p,p,1,56.0
3fed7a4f-5725-4e59-abf0-008858c12588,3508,22,9,pbbpbppp,51.138353765324,p,b,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3508,23,9,bpbpppbp,51.992031872509955,b,b,1,44.827586206896555
3fed7a4f-5725-4e59-abf0-008858c12588,3508,24,9,pbpppbpb,50.4930966469428,b,p,0,42.10526315789474
3fed7a4f-5725-4e59-abf0-008858c12588,3508,25,9,bpppbpbp,51.73076923076923,b,p,0,46.15384615384615
3fed7a4f-5725-4e59-abf0-008858c12588,3509,1,9,bpbbpbbb,52.88966725043783,b,b,1,36.36363636363637
3fed7a4f-5725-4e59-abf0-008858c12588,3509,2,9,pbbpbbbb,55.97920277296361,p,b,0,42.42424242424242
3fed7a4f-5725-4e59-abf0-008858c12588,3509,3,9,bpbbbbbp,52.35507246376812,p,b,0,47.82608695652174
3fed7a4f-5725-4e59-abf0-008858c12588,3509,4,9,pbbbbbpb,50.75757575757576,b,b,1,54.83870967741935
3fed7a4f-5725-4e59-abf0-008858c12588,3509,5,9,bpbbppbp,51.11940298507462,b,b,1,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3509,6,9,pbbppbpb,51.438848920863315,b,p,0,37.83783783783784
3fed7a4f-5725-4e59-abf0-008858c12588,3509,7,9,bppbpbpb,50.09276437847866,b,p,0,57.142857142857146
3fed7a4f-5725-4e59-abf0-008858c12588,3509,8,9,pbpbpbpp,52.293577981651374,b,b,1,53.57142857142857
3fed7a4f-5725-4e59-abf0-008858c12588,3509,9,9,bpbpbppb,57.52212389380531,b,p,0,43.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3509,11,9,bpbppbpb,50.18796992481202,p,b,0,50.0
